Date, Close/Last, Volume, Open, High, Low
2020-01-10, 90.26,9670161, 90.51, 92.39, 89.87
2020-01-13, 90.97,10372100, 91.05, 92.73, 90.5485
2020-01-14, 90.56,7801839, 91.13, 91.61, 90.29
2020-01-15, 89.67,7259093, 90.75, 91.18, 89.25
2020-01-16, 91.79,9295519, 90.22, 92.229, 89.82
2020-01-17, 95.91,23694370, 93, 96.17, 92.95
2020-01-21, 94.54,10868540, 95.33, 95.7199, 93.4229
2020-01-22, 92.97,8342302, 95.26, 95.39, 92.71
2020-01-23, 92,11282020, 92.85, 92.95, 91.46
2020-01-24, 89.65,9471659, 92.68, 93.25, 88.83
2020-01-27, 87.05,9240203, 87.304, 88.22, 86.45
2020-01-28, 89.15,9186993, 88.15, 89.54, 87.3861
2020-01-29, 88.23,8167966, 88.66, 89.02, 87.35
2020-01-30, 87.78,8379356, 87.31, 87.86, 86.19
2020-01-31, 85.31,9503569, 87.05, 87.1677, 85.04
2020-02-03, 86.48,7794550, 85.55, 86.58, 85.16
2020-02-04, 88.93,9236376, 88.25, 88.95, 87.37
2020-02-05, 90.91,14220870, 90.99, 91.14, 89.27
2020-02-06, 90.61,21059030, 88.06, 90.775, 86.19
2020-02-07, 87.42,10725090, 89.62, 90.03, 87.38
2020-02-10, 88.6,7481257, 86.78, 88.635, 86.5
2020-02-11, 90,9452795, 89.37, 91.47, 88.9
2020-02-12, 91.72,9824153, 91.65, 92.44, 91.29
2020-02-13, 90.03,8428261, 91.03, 91.3799, 89.7772
2020-02-14, 89.6,6256463, 90.55, 90.8, 88.79
2020-02-18, 88.03,7251738, 87.83, 89, 87.525
2020-02-19, 90.56,7820938, 88.92, 90.62, 88.65
2020-02-20, 89.47,9754899, 90.81, 91.88, 88.68
2020-02-21, 87.03,12260940, 88.56, 89.03, 86.33
2020-02-24, 83.32,12158500, 83.9, 84.83, 82.71
2020-02-25, 80.22,14724970, 83.94, 84.4, 79.64
2020-02-26, 79.66,13137750, 81, 82.03, 79.09
2020-02-27, 75.94,17898300, 77.13, 78.19, 75.33
2020-02-28, 78.3,20905480, 73.76, 79.81, 73.34
2020-03-02, 80.56,15043360, 79.015, 80.71, 77.13
2020-03-03, 78.56,16356240, 80.82, 82.65, 77.83
2020-03-04, 81.8,9894894, 79.12, 81.91, 78.05
2020-03-05, 79.17,9396192, 79.46, 81.37, 78.7
2020-03-06, 77.47,11536520, 76.33, 78.08, 75.83
2020-03-09, 72.64,13898510, 72.4, 76.1, 71.83
