Date, Close/Last, Volume, Open, High, Low
2020-01-10, 95.63,64884150, 96.358, 96.988, 94.74
2020-01-13, 104.972,133172750, 98.7, 105.126, 98.4
2020-01-14, 107.584,145306900, 108.851, 109.482, 104.98
2020-01-15, 103.7,86844150, 105.952, 107.568, 103.3571
2020-01-16, 102.698,108683250, 98.75, 102.892, 98.434
2020-01-17, 102.1,68145350, 101.522, 103.134, 100.632
2020-01-21, 109.44,89017350, 106.05, 109.716, 105.682
2020-01-22, 113.912,156845150, 114.378, 118.9, 111.82
2020-01-23, 114.44,98255200, 112.85, 116.4, 111.1205
2020-01-24, 112.964,71768000, 114.126, 114.772, 110.852
2020-01-27, 111.604,68040350, 108.398, 112.888, 107.856
2020-01-28, 113.38,58942450, 113.698, 115.362, 111.616
2020-01-29, 116.198,91083350, 115.138, 117.96, 113.486
2020-01-30, 128.162,145028400, 126.484, 130.176, 123.6
2020-01-31, 130.114,78596350, 128, 130.6, 126.504
2020-02-03, 156,236167500, 134.738, 157.228, 134.704
2020-02-04, 177.412,304693800, 176.592, 193.798, 166.776
2020-02-05, 146.94,242119200, 164.652, 169.196, 140.8221
2020-02-06, 149.792,199403750, 139.984, 159.166, 137.4
2020-02-07, 149.614,85317600, 146.11, 153.95, 146
2020-02-10, 154.256,123445800, 160, 163.998, 150.48
2020-02-11, 154.876,58487350, 153.758, 156.7012, 151.6
2020-02-12, 153.458,60112350, 155.574, 157.95, 152.674
2020-02-13, 160.8,131446750, 148.368, 163.6, 147
2020-02-14, 160.006,78468550, 157.444, 162.594, 157.1
2020-02-18, 171.68,83491850, 168.32, 172, 166.472
2020-02-19, 183.484,127114800, 184.7, 188.956, 180.204
2020-02-20, 179.882,88174450, 182.39, 182.4, 171.988
2020-02-21, 180.2,71697250, 181.396, 182.612, 176.09
2020-02-24, 166.758,75960800, 167.8, 172.7, 164.44
2020-02-25, 159.982,86452400, 169.8, 171.32, 157.4
2020-02-26, 155.76,70769200, 156.5, 162.662, 155.222
2020-02-27, 135.8,121385800, 146, 147.954, 133.8
2020-02-28, 133.598,122820850, 125.94, 138.104, 122.304
2020-03-02, 148.724,100974950, 142.252, 148.738, 137.334
2020-03-03, 149.102,128920000, 161, 161.396, 143.2221
